county_fips_code,state_fips_code,state_alpha,county_code,county_name
01001,1,AL,1,AUTAUGA
01003,1,AL,3,BALDWIN
01005,1,AL,5,BARBOUR
01007,1,AL,7,BIBB
01009,1,AL,9,BLOUNT
01011,1,AL,11,BULLOCK
01013,1,AL,13,BUTLER
01015,1,AL,15,CALHOUN
01017,1,AL,17,CHAMBERS
01019,1,AL,19,CHEROKEE
01021,1,AL,21,CHILTON
01023,1,AL,23,CHOCTAW
01025,1,AL,25,CLARKE
01029,1,AL,29,CLEBURNE
01031,1,AL,31,COFFEE
01033,1,AL,33,COLBERT
01035,1,AL,35,CONECUH
01037,1,AL,37,COOSA
01039,1,AL,39,COVINGTON
01041,1,AL,41,CRENSHAW
01043,1,AL,43,CULLMAN
01045,1,AL,45,DALE
01047,1,AL,47,DALLAS
01049,1,AL,49,DE KALB
01051,1,AL,51,ELMORE
01053,1,AL,53,ESCAMBIA
01055,1,AL,55,ETOWAH
01057,1,AL,57,FAYETTE
01059,1,AL,59,FRANKLIN
01061,1,AL,61,GENEVA
01063,1,AL,63,GREENE
01065,1,AL,65,HALE
01067,1,AL,67,HENRY
01069,1,AL,69,HOUSTON
01071,1,AL,71,JACKSON
01073,1,AL,73,JEFFERSON
01075,1,AL,75,LAMAR
01077,1,AL,77,LAUDERDALE
01079,1,AL,79,LAWRENCE
01081,1,AL,81,LEE
01083,1,AL,83,LIMESTONE
01085,1,AL,85,LOWNDES
01087,1,AL,87,MACON
01089,1,AL,89,MADISON
01091,1,AL,91,MARENGO
01093,1,AL,93,MARION
01095,1,AL,95,MARSHALL
01097,1,AL,97,MOBILE
01099,1,AL,99,MONROE
01101,1,AL,101,MONTGOMERY
01103,1,AL,103,MORGAN
01105,1,AL,105,PERRY
01107,1,AL,107,PICKENS
01109,1,AL,109,PIKE
01111,1,AL,111,RANDOLPH
01113,1,AL,113,RUSSELL
01115,1,AL,115,SAINT CLAIR
01117,1,AL,117,SHELBY
01119,1,AL,119,SUMTER
01121,1,AL,121,TALLADEGA
01123,1,AL,123,TALLAPOOSA
01125,1,AL,125,TUSCALOOSA
01127,1,AL,127,WALKER
01129,1,AL,129,WASHINGTON
01131,1,AL,131,WILCOX
01133,1,AL,133,WINSTON
02020,2,AK,20,ANCHORAGE
02090,2,AK,90,FAIRBANKS NORTH STAR
